no.,가수,곡 명,발매년도,계절,노래가사,성별
557,태연,11:11,2016.11.1,사계절,It’s 11:11 오늘이 한 칸이 채 안 남은 그런 시간 우리 소원을 빌며 웃던 그 시간 별 게 다 널 떠오르게 하지 네 맘 끝자락처럼 차가운 바람 창을 열면 온통 네가 불어와 이 시간이 전부 지나고 나면 이별이 끝나 있을까 Yeah 널 다 잊었을까 모든 게 자릴 찾아서 떠나가고 넌 내 모든 걸 갖고서 떠나도 내 맘은 시계 속의 두 바늘처럼 같은 곳을 두고 맴돌기만 해 Na na na na na na na na na na na na na oh Na na na na na na na na I believe I will be over you 달력 안에 있는 오래 전에 약속했던 몇 월의 며칠 너에겐 다 잊혀져 있었다면 내가 지워야지 뭐 지나고 나면 별 거 아니겠지 뭐 모든 게 자릴 찾아서 떠나가고 넌 내 모든 걸 갖고서 떠나도 내 맘은 시계 속의 두 바늘처럼 같은 곳을 두고 맴돌기만 해 Na na na na na na na na na na na na na oh Na na na na na na na na I believe I will be over you 계절 틈에 잠시 피는 낯선 꽃처럼 하루 틈에 걸려 있는 새벽 별처럼 이 모든 건 언젠가는 다 지나가고 말겠지 모든 게 자릴 찾아서 돌아오고 내가 아무 일 없는 듯이 웃게 되면 너의 이름 한 번쯤 부르는 게 지금처럼 아프지 않을 거야 Na na na na na na na na na na na na na oh Na na na na na na na na I believe I will be over you Na na na na na na na na na na na na na oh Na na na na na na na na I believe I will be over you,여
558,"마크툽, 이라온",별을 담은 시,2020.9.5,사계절,니가 언젠가 말했잖아 나의 노래엔 마음을 움직이는 힘이 있다고 그날 너의 위로가 날 노래 부르게 했어 정말로 고마워 내게 용기를 줘서 우리 앞의 세계는 저마다의 색으로 기억되고 짧은 입맞춤처럼 너 안에 닿기를 찬란한 색 마음과 흑백 그리움들이 시가 되어 너란 별이 내려와 날 안아줘 내가 바라왔던 세상 위에서 넌 나의 꿈의 언어로 쓰여진 책속에 가장 예쁜 책갈피를 꽂아 영원히 읽어내고 싶은 이야기야 내가 분명히 말했잖아 나의 꿈만큼 빛나는 별을 노래에 담겠다고 그날 너를 향했던 진심은 계절을 버텨내 꽃으로 피어나 너에게 날아가 찬란한 색 마음과 흑백 그리움들이 시가 되어 너란 별이 내려와 날 안아줘 내가 바라왔던 세상 위에서 넌 나의 꿈의 언어로 쓰여진 책속에 가장 예쁜 책갈피를 꽂아 영원히 읽어내고 싶은 이야기야 어떤 날 누군가를 위해 부르는 노래 이 숨결이 날 품은 바람 되어 너에게 닿기를 찬란한 색 마음과 흑백 그리움들이 시가 되어 너란 별이 내려와 날 안아줘 내가 바라왔던 세상 위에서 넌 나의 꿈의 언어로 쓰여진 책속에 가장 예쁜 책갈피를 꽂아 영원히 읽어내고 싶은 이야기야,남
559,오마이걸,불꽃놀이,2018.9.10,여름,remember me do you remember me 날 바라보던 너의 눈에 비친 내 모습이 참 맘에 들었는데 나도 몰랐던 날 알게 해준 널 만났던 건 참 행운인 걸 yeah 다시 이런 우연은 없을거라 넌 늘 새기듯 말했지 거슬러 틀려 봐봐 돌아가도 결국 그 자리잖아 oh 돌아와도 뻔한데 oh 왜 머릿속에 oh네가 눈이 부시게 퍼져 disappear 사랑스런 그때의 너 우리의 기억이 아른거리고 조금 이른 사랑얘긴 저 별들처럼 나를 비추고 눈을 감으면 remember me 시작되는 magic remember me 처음이라서 remember me 마냥 좋았던 do you remember 그때 불꽃놀이 모래알 같은 기억들 속에서도 난 단숨에 널 찾아낼 수 있어 너에겐 내가 어떻게 남았는지 궁금해졌어 난 어땠을까 yeah 사실 그때 나의 세상은 너와 나 밖에 없어서 안녕 한동안 감기보다 더 아팠지 oh 너를 그려보았네 oh 까만 하늘에 oh 다시 눈부시도록 펑펑 disappear 사랑스런 그때의 너 우리의 기억이 아른거리고 조금 이른 사랑얘긴 저 별들처럼 나를 비추고 눈을 감으면 remember me 시작되는 magic remember me 처음이라서 remember me 마냥 좋았던 do you remember 그때 불꽃놀이 remember me 그때 우리 불꽃놀이 같던 둘만의 하늘빛 잊지 말아줘 ah ah no no 아주 더 오래 지나도 가끔 날 그려줘 태어나서 본 것 중에 제일 커다란 꽃 오직 둘만의 축제 계절이 되돌아와도 가장 아름다웠던 시간 너머로 remember me 띄워보는 편지 remember me 네가 있어서 remember me 마냥 설던 do you remember 그때 불꽃놀이 눈을 감으면 remember me 시작되는 magic remember me 처음이라서 remember me 마냥 좋았던 do you remember 그때 불꽃놀이 remember me remember me,여
560,규현,밀리언조각,2015.10.15,가을,"너는 왜 이토록 나를 떨리게 하니 너의 존재만이 나를 숨 쉬게 하니 아무도 없었던 가난했던 마음이 보석 같은 너로 가득해, 고마워 사랑해 말조차 아까운 나의 하나뿐인 사람아 마지막이란 말은 하지 말아요 넌 높이서 반짝이는 별, 손 닿을 수 없이 멀었던 그 거리 오늘 가까워진 걸까 오늘 밤 그대란 밀리언의 조각들로 내 가슴 가장 깊은 곳에 채우고 채우고 채우고 부서진 내 마음 그대만이 모아주오 이 밤의 가장 깊은 곳에 그대의 빛으로 가득하게 차가운 입김에 눈꽃이 흩날리면 들뜬 연인들의 노래 들려올 때에 한참을 앓았던 계절의 마지막이 손끝에 흐른다 별 헤는 이 밤에 사랑해 말조차 아까운 나의 하나뿐인 사람아 마지막이란 말은 하지 말아요 넌 멀리서 반짝이는 별, 나 혼자선 어쩔 수 없는 그 거리 오늘 멀게만 느껴져 오늘 밤 그대란 밀리언의 조각들로 내 가슴 가장 깊은 곳에 채우고 채우고 채우고 부서진 내 마음 그대만이 모아주오 이 밤의 가장 깊은 곳에 그대의 빛으로 가득하게 지쳐 올려다 본 밤 작은 너의 빛 하나 붙잡고 걸었어 너만 보였으니까 너의 가늠조차 할 수 없던 눈부신 빛이 이 밤의 끝으로 흘러내리게 너는 왜 이토록 나를 떨리게 하니 너의 존재만이 다시 숨 쉬게 하니 오늘 밤 그대란 밀리언의 조각들로 내 가슴 가장 깊은 곳에 채우고 채우고 채우오 부서진 내 마음 그대만이 모아주오 이 밤의 가장 깊은 곳에 그대의 빛으로 가득하게",남
561,선미,보라빛 밤,2020.6.29,여름,내게 뭘 원하v 그냥 말만 하래 하늘에 별도 따주겠대 다른 건 안 바래 이 밤만 원하네 그대 손 잡고 안 놔줄래 보라빛 밤 I like it like it 더 같이 있자 아직 이르잖아 We're like 보라빛 밤 날 하늘 위로 터트려 볼래 이 밤 밤 밤 밤 밤 보라빛 밤 오 그대여 눈뜨면 다 사라져 엉망이 돼도 오 그대여 난 다시 또 이 밤을 기다릴게요 나나나 나 나나 나나나 나 나나 나나나 나 나나 보라빛 밤 나나나 나 나나 나나나 나 나나 나나나 나 나나 보라빛 밤 술은 입에도 안 댔는데 I'm tipsy 나 조금 어지러운 것 같애 지금 아님 언제? 참 답답하네 날 감싸 안고 입 맞출래 보라빛 밤 I like it like it 더 같이 있자 아직 이르잖아 We're like 보라빛 밤 날 하늘 위로 터트려 볼래 이 밤 밤 밤 밤 밤 보라빛 밤 오 그대여 눈 뜨면 다 사라져 엉망이 돼도 오 그대여 난 다시 또 이 밤을 기다릴게요 꿈인가 싶다가도 니가 떠오르니까 그 밤은 진심인 거야 일거야 보라빛 밤 오 그대여 눈 뜨면 다 사라져 엉망이 돼도 오 그대여 난 다시 또 이 밤을 기다릴게요 오 그대여 (나나나 나 나나 나나나 나 나나 나나나 나 나나) 보라빛 밤 오 그대여 난 다시 또 이 밤을 기억 할게요 (나나나 나 나나 나나나 나 나나 나나나 나 나나) 보라빛 밤,여
562,마마무,HIP,2019.11.14,여름,All I wanna be is 멋짐 내 마음대로 골라 kick it 머리 어깨 무릎 다 HIP 해 Do it do it like me do it 나를 따라 해 kick it Clapping clapping 모두 같이 HIP I love you 네가 뭐라든 간에 Respect you 네가 뭘 하든 간에 늘 따끈따끈해 그 관심이 따끔따끔해 또 힐끔 힐끔 힐끔 이젠 모든 일이 가뿐해 veteran 성공을 썰어 먹어 마치 michelin 누구보다 빠른 걸음을 걸었네 비시즌 잊은 지도 오래야 뒷걸음 All I wanna be is 멋짐 내 멋대로 골라 kick it 머리 어깨 무릎 다 HIP 삐삐삐 논란이 돼 my fashion 별로 신경 안 써 그저 action 자꾸 click me click me 홀린 듯이 zoom Close up close up close up HIP 해 HIP HIP 머리 어깨 무릎 HIP HIP HIP HIP HIP HIP HIP 해 HIP HIP 머리 어깨 무릎 HIP HIP HIP HIP HIP 해 HIP (Attention) 어딜 가든 넌 (Reflection) 빛날 수 있어 세상에 넌 하나뿐인 걸 근데 왜이래 네 얼굴에 침 뱉니 (칵투) 날 자극한 여러분 감사 거기서 멈춘 찌질이 반사 덕분에 나의 멘탈은 단단해 난 다음 앨범 만들러 갈게 All you wanna be is trendy 어그로 끌기 gimmick 때찌! 그런 애들 끼리끼리 HIP 삐삐삐 논란이 돼 my fashion 별로 신경 안 써 그저 action 자꾸 click me click me 홀린 듯이 zoom Close up close up close up HIP 해 HIP HIP 머리 어깨 무릎 HIP HIP HIP HIP HIP HIP HIP 해 HIP HIP 머리 어깨 무릎 HIP HIP HIP HIP HIP 해 HIP 코 묻은 티 삐져나온 입 떡진 머리 난 상관없지 코 묻은 티 삐져나온 입 떡진 머리 내가 하면 HIP 코 묻은 티 삐져나온 팬티 떡진 머리 난 상관없지 코 묻은 티 삐져나온 팬티 떡진 머리 내가 하면 HIP 삐삐삐 논란이 돼 my fashion 별로 신경 안 써 그저 action 자꾸 click me click me 홀린 듯이 zoom Close up close up close up HIP 해 HIP HIP 머리 어깨 무릎 HIP HIP HIP HIP HIP HIP HIP 해 HIP HIP 머리 어깨 무릎 HIP HIP HIP HIP HIP 해 HIP,여
563,방탄소년단,불타오르네,2016.5.2,여름,"불타오르네 Fire Fire Fire Fire When I wake up in my room 난 뭣도 없지 해가 지고 난 후 비틀대며 걷지 다 만신창이로 취했어 취했어 막 욕해 길에서 길에서 나 맛이 갔지 미친놈 같지 다 엉망진창, livin' like 삐-이- 니 멋대로 살어 어차피 니 꺼야 애쓰지 좀 말어 져도 괜찮아 Errbody say La la la la la (La la la la la) Say La la la la la (La la la la la) 손을 들어 소리질러 Burn it up 불타오르네 싹 다 불태워라 Bow wow wow 싹 다 불태워라 Bow wow wow Hey, burn it up 전부 다 태울 것 같이 Hey, turn it up 새벽이 다 갈 때까지 그냥 살아도 돼 우린 젊기에 그 말하는 넌 뭔 수저길래 수저수저 거려 난 사람인데 (So what~) 니 멋대로 살어 어차피 니 꺼야 애쓰지 좀 말어 져도 괜찮아 Errbody say La la la la la (La la la la la) Say La la la la la (La la la la la) 손을 들어 소리질러 Burn it up 불타오르네 싹 다 불태워라 Bow wow wow 싹 다 불태워라 Bow wow wow (Fire) 겁 많은 자여 여기로 (Fire) 괴로운 자여 여기로 (Fire) 맨주먹을 들고 All night long (Fire) 진군하는 발걸음으로 (Fire) 뛰어봐 미쳐버려 다 싹 다 불태워라 Bow wow wow 싹 다 불태워라 Bow wow wow Fire Fire 싹 다 불태워라 Bow wow wow Fire Fire 싹 다 불태워라 Bow wow wow 용서해줄게",남
564,이적,당연한 것들,2020.6.21,사계절,그때는 알지 못했죠 우리가 무얼 누리는지 거릴 걷고 친굴 만나고 손을 잡고 껴안아주던 것 우리에게 너무 당연한 것들 처음엔 쉽게 여겼죠 금세 또 지나갈 거라고 봄이 오고 하늘 빛나고 꽃이 피고 바람 살랑이면은 우린 다시 돌아갈 수 있다고 우리가 살아왔던 평범한 나날들이 다 얼마나 소중한지 알아버렸죠 당연히 끌어안고 당연히 사랑하던 날 다시 돌아올 때까지 우리 힘껏 웃어요 잊지는 않았잖아요 간절히 기다리잖아요 서로 믿고 함께 나누고 마주보며 같이 노래를 하던 우리에게 너무 당연한 것들 우리가 살아왔던 평범한 나날들이 다 얼마나 소중한지 알아버렸죠 당연히 끌어안고 당연히 사랑하던 날 다시 돌아올 거예요 우리 힘껏 웃어요 당연히 끌어안고 당연히 사랑하던 날 다시 돌아올 거예요 우리 힘껏 웃어요,남
565,블랙핑크,휘파람,2016.8.8,사계절,Hey boy Make’ em whistle like a missile bomb bomb Every time I show up blow up (uh) Make’ em whistle like a missile bomb bomb Every time I show up blow up (uh) 넌 너무 아름다워 널 잊을 수가 없어 그 눈빛이 아직 나를 이렇게 설레게 해 boom boom 24 365 오직 너와 같이 하고파 낮에도 이 밤에도 이렇게 너를 원해 ooh ooh 모든 남자들이 날 매일 check out 대부분이 날 가질 수 있다 착각 절대 많은 걸 원치 않아 맘을 원해 난 넌 심장을 도려내 보여봐 아주 씩씩하게 때론 chic chic 하게 So hot so hot 내가 어쩔 줄 모르게 해 나지막이 불러줘 내 귓가에 도는 휘파람처럼 이대로 지나치지 마요 너도 나처럼 날 잊을 수가 없다면 WHOA 널 향한 이 마음은 Fire 내 심장이 빠르게 뛰잖아 점점 가까이 들리잖아 휘파람 UH 휘 파람 파람 파람 (can you hear that) 휘 파라파라 파라 밤 휘파람 UH 휘 파람 파람 파람 (can you hear that) 휘 파라파라 파라 밤 Hold up 아무 말 하지 마 Just whistle to my heart 그 소리가 지금 나를 이렇게 설레게 해 boom boom 생각은 지루해 느낌이 shhh! Every day all day 내 곁에만 있어줘 zoom zoom Uh 언제나 난 stylin’ 도도하지만 네 앞에선 darlin’ 뜨거워지잖아 like a desert island 너 알아갈수록 울려대는 마음속 그만 내빼 넘어와라 내게 boy 이젠 checkmate 게임은 내가 win (uh-huh) 난 널 택해 안아줘 더 세게 누가 널 가로 채 가기 전에 내가 (uh) 이대로 지나치지 마요 너도 나처럼 날 잊을 수가 없다면 WHOA 널 향한 이 마음은 Fire 내 심장이 빠르게 뛰잖아 점점 가까이 들리잖아 휘파람 UH 휘 파람 파람 파람 (can you hear that) 휘 파라파라 파라 밤 휘파람 UH 휘 파람 파람 파람 (can you hear that) 휘 파라파라 파라 밤 This beat got me feelin’ like 바람처럼 스쳐가는 흔한 인연이 아니길 많은 말은 필요 없어 지금 너의 곁에 나를 데려가 줘 ohh Make’ em whistle like a missile bomb bomb Every time I show up blow up (uh) Make’ em whistle like a missile bomb bomb Every time I show up blow up (uh),여
566,악동뮤지션,DINOSAUR,2017.7.20,사계절,나의 옛날 동네 옛날 동네 반지하 빌라엔 네 가족 오순 도순 오순 도순 잘 살고 있었네 화장실 문 밑엔 쥐가 파놓은 구멍이 매일 밤 뒤척거리시던 아버지 No problem 난 아무것도 몰랐거든 아직도 그때가 생생해 무서울게 없었던 어리기만 한 나를 펄쩍 뛰게 한 펄쩍 뛰게 한 펄쩍 뛰게 한 Dinosaur 어릴 적 내 꿈에 나온 Dinosaur 어릴 적 내 꿈에 나온 Dinosaur 비명과 함께 깼네 함께 깼네 네 가족이 다 같이 따스한 이부자리 이부자리 두 발로 걷어찼지 엄마는 날 안아줘 내 못 감추는 울먹임 TV 보며 진정하라 하셨지 깜빡깜빡 거리네 까만 방이 번쩍거리네 아직도 그 꿈이 생생해 무서울게 없었던 어리기만 한 나를 펄쩍 뛰게 한 펄쩍 뛰게 한 펄쩍 뛰게 한 Dinosaur 어릴 적 내 꿈에 나온 Dinosaur 어릴 적 내 꿈에 나온 Dinosaur 우리 집 창문을 부수고 내 가족에게 포효하던 널 다시 만나면 그땐 너보다 더 크게 소리 지를래 더 크게 소리 지를래 더 크게 소리 지를래 더 크게 소리 지를래 Dinosaur 어릴 적 내 꿈에 나온 Dinosaur 어릴 적 내 꿈에 나온 Dinosaur,혼성
567,김태우,사랑비,2009.9.3,여름,사랑했었던 어떤 이가 떠나간적 있겠죠 모든게 내 탓이란 생각이 든 적 있겠죠 나 그래서 잡지 못했죠 오 이런 아픔쯤은 모두 잊을 수 있을거라 다른 사랑이 찾아 올거라 생각했었죠 왜 그런데 잊질 못하죠 오 그저 하늘 바라보며 외치죠 다시 한번 나를 사랑해줘 내 맘 속 작은 바람이 비가 되어 내려오면 내 사랑이 머리에 내리면 추억이 되살아 나고 가슴에 내리면 소중했던 사랑이 떠오르고 내 사랑이 입술에 닿으면 널 사랑해 내게 외치며 비가 내리는 그 길을 따라 걷다가 걷다가 걷다 보면 바라던 내가 널 기다려 믿음이라는 열쇠로 사랑의 상자를 열어 사랑이란 기도를 전하는 전화를 걸어 내 맘이 널 찾지 못해도 오 그저 하늘 바라보며 외치죠 다시 한번 나를 사랑해줘 내 맘 속 작은 바람이 비가 되어 내려오면 내 사랑이 머리에 내리면 추억이 되살아 나고 가슴에 내리면 소중했던 사랑이 떠오르고 내 사랑이 입술에 닿으면 널 사랑해 내게 외치며 비가 내리는 그 길을 따라 걷다가 걷다가 걷다 보면 바라던 내가 널 기다려 돌아가 그때로 내 삶에 단 한번 기도했던 대로 이렇게 외치면 사랑비가 내려와 (너의 사랑이 나의 눈에 내리면) 눈에 내리면 (내 앞에 네가 서 있고) 바라던 네가 (내 귀에 내리면) 내 귀를 간지럽히면 (네가 다시 사랑을 속삭이고) 사랑해 사랑해 사랑해 (널 사랑해 내 품에 안으면) 안으면 (또 다시 행복해지면) 행복해지면 (해가 비추는) 그 길을 따라 같이 또 걷다가 걷다 보면 바라던 우리가 서 있어 내게 다시 오라는 기도 오예 한번 더,남
568,오렌지캬라멜,까탈레나,2014.3.12,사계절,춤추는 작은 까탈레나 (Red Sun) 나도 모르게 빠져 들어가 도도한 콧대 까탈레나 (Red Sun) Jutti Meri Oye Hoi Hoi 홀려 들어가 어머머머 멋있어 반했어 어쩜 같은 여자끼리 봐도 참 멋있어 까칠까칠 하지만 한 번만 보고파 알고파 함께 춤 추고파 랄라랄라 흔들흔들 손 흔들고 네 목소리가 쉴 때까지 소리 질러 (Jutti Meri Oye Hoi Hoi Paula Mera Oye Hoi Hoi) 참 잘했어요 100점 만점 주고파 춤추는 작은 까탈레나 (Red Sun) 나도 모르게 빠져 들어가 도도한 콧대 까탈레나 (Red Sun) Jutti Meri Oye Hoi Hoi 홀려 들어가 스르르르르륵 스르르르르륵 녹 녹 녹 녹아든다 녹 녹 녹 녹아든다 파르르르르륵 파르르르르륵 떨 떨 떨 떨려온다 따라 따라 따라 하고파 시크해서 싫지만 그치만 어쩜 같은 여자끼리 봐도 매력 있어 분하지만 한 시간 두 시간 추고파 놀고파 뼈를 묻고 싶어 랄라랄라 흔들흔들 손 흔들고 네 목소리가 쉴 때까지 소리 질러 (Jutti Meri Oye Hoi Hoi Paula Mera Oye Hoi Hoi) 아직 부족해 좀만 더 힘을 내봐 춤추는 작은 까탈레나 (Red Sun) 나도 모르게 빠져 들어가 도도한 콧대 까탈레나 (Red Sun) Jutti Meri Oye Hoi Hoi 홀려 들어가 스쳐가는 두 손이 따듯해 알고 보면 착하려나? 까칠한 나의 까탈레나 모두 다 같이 빠져들어 가 도도한 콧대 까탈레나 (Red Sun) Jutti Meri Oye Hoi Hoi 홀려 들어가 스르르르르륵 스르르르르륵 녹 녹 녹 녹아든다 녹 녹 녹 녹아든다 파르르르르륵 파르르르르륵 떨 떨 떨 떨려온다 따라 따라 따라 하고파,여
569,잔나비,꿈나라 별나라,2016.8.4,사계절,어떤가요 우리 같이 떠나요 언덕 너머 해가 지면은 늦을지도 몰라요 어서 내게 말해줘 바다건너 꿈에서만 그리던 하루종일 해가 떠있는 돛단배도 타구요 물장구도 치구요 그댈 위해 마차를 준비했지 마차 타고 꿈나라로 떠나볼까 꿈나라는 별보다 따뜻하대 별나라는 다음번에 가도록해. 뒷동산에 지저귀던 새들도 이미 벌써 거기 있어요 보고싶은 얼굴들 그곳에서 만나요. 그댈 위해 마차를 준비했지 마차 타고 꿈나라로 떠나볼까 꿈나라는 별보다 따뜻하대 별나라는 다음번에 가도록해.,남
570,세븐틴,어쩌나,2018.7.16,사계절,나의 밤은 Deep Deep 켜져 있는 TV 시끄럽지 내 맘처럼 너는 대체 어떠한 이유로 내 맘을 껐다 켰다 네 멋대론지 그게 싫다는 게 아니고 혹시 네가 너무 피곤할까 봐 걱정돼서 그렇지 내 맘이 그래 나는 너면 Need no other 너는 마치 찌더움이 없는 Summer Yeh 너는 여태 내가 느껴왔던 쓸쓸함의 온점 네 생각에 잠 못 자다가 보면 오전 이런 너를 어쩌나 너를 봐도 네가 더 생각나 너는 내게 유일한 어쩌나 난 어쩌나 어쩌나 그대를 어쩌나 너 때문에 난 이제 어쩌나 빼곡히 매일 Ah 매일 Ah 매일 Ah 매일 네가 좋은 걸 어쩌나 그대는 어떤가 나 때문에 잠들기 힘들까 쉴 틈 없이 설레게 하면 어쩌나 어쩌나 어쩌나 저쩌나 하루가 멀다 하고 네가 좋아져 난 내가 성격이 덜렁대고 좀 물러서 그치만 널 위해서 절대로 안 물러서 같이 부르자 Um 콧노래 하나씩 이어폰을 나눠 끼니 사이가 좋으네 난 내 두뇌 스케치 위에 매일 너를 그려 (뭐라는 거야) 암튼 나는 네가 그냥 좋아 아까부터 같은 말 계속해서 미안해 그치만 이게 다야 별 어려운 말 다 해봐도 내 진심은 이게 Every Everything 이런 너를 어쩌나 너를 봐도 네가 더 생각나 이 모든 게 꿈이면 난 정말 난 어쩌나 어쩌나 그대를 어쩌나 너 때문에 난 이제 어쩌나 빼곡히 매일 Ah 매일 Ah 매일 Ah 매일 네가 좋은 걸 어쩌나 그대는 어떤가 나 때문에 잠들기 힘들까 쉴 틈 없이 설레게 하면 어쩌나 어쩌나 Yeh yeh yeh yeh yeh I really like you Oh oh oh oh Better tell Yeh yeh yeh yeh yeh Better tell somebody Oh oh oh oh You’re all mine 밝은 넌 우주 저 끝까지 닿을 만큼 더 빛나는 네가 없음 어쩌나 Woo baby 그대를 어쩌나 너 때문에 난 이제 어쩌나 빼곡히 매일 Ah 매일 Ah 매일 Ah 매일 네가 좋은 걸 어쩌나 그대는 어떤가 내 마음을 알기는 아는가 난 네가 없음 안 되는데 어쩌나 어쩌나 어쩌나 어쩌나,남
571,카더가든,명동콜링,2018.12.15,겨울,Oh~ 달링 떠나가나요 새벽별빛 고운 흰눈 위에 떨어져 발자국만 남겨두고 떠나가나요 크리스마스 저녁 명동거리 수많은 연인들 누굴 약 올리나 갑자기 추억들이 춤을 추네 보고 싶다 예쁜 그대 돌아오라 나의 궁전으로 바람 불면 어디론가 떠나가는 나의 조각배야 갑자기 추억들이 춤을 추네 쇼 윈도우 비친 내 모습 인간이 아냐 믿을 수 없어 밤하늘 보름달만 바라보네 보고 싶다 예쁜 그대 돌아오라 나의 궁전으로 바람 불면 어디론가 떠나가는 나의 조각배야 생각해 보면 영화 같았지 관객도 없고 극장도 없는 언제나 우리들은 영화였지 보고 싶다 예쁜 그대 돌아오라 보고 싶다 예쁜 그대 돌아오라 나의 궁전으로 갑자기 추억들이 춤을 추네,남
572,딘,넘어와,2017.2.17,사계절,이런 야심한 밤 그런 걱정을 왜 해 물어볼 뿐이야 오해는 왜 해 TV 드라마로 끝내기엔 저 달이 너무 밝아서 So I juss wanna talk about you and me yeah 밤하늘 위 잠긴 목소리로 차가워 진 폰을 밤새 달궈 oh no 별 말을 안 해도 훌쩍 지나있는 시간 속에 올라타있어 Am I crazy? yeah maybe 뭘까 어딜까 막 이쁘진 않은데 자꾸만 눈이 가 날 못 살게 구는 게 나도 어지러워 도와줘 밖은 어두워져 Don't you want my love? 시계 초 소리만 더 커져 거기 멈춰 넘어와 그쯤에서 하고 넘어와 oh baby넘어와 이 밤을 건너 넘어와 oh baby 달처럼 마음도 기우네 할 말은 떨어지고 그 사이를 비집고 정적이 틈을 채우네 밤 새 오늘을 기다렸는데 네 앞에만 서면 난 왜 이리 작아지는지 Oh 왜 길거리 위를 끝없이 서성이며 차가워 진 손을 밤새 달궈 oh no 어제처럼 그제처럼 집에 돌아가기엔 I’m so crazy yeah maybe. 뭘까 어딜까 막 이쁘진 않은데 자꾸만 눈이 가 날 못 살게 구는 게 나도 어지러워 도와줘 밖은 어두워져 Don't you want my love? 시계 초 소리만 더 커져 너와 나 사이 결론은 없는데 널 보면 이렇게 전부 알 것 같은 게 나도 힘들어 날 도와줘 oh let me into your heart 시계 초 소리만 더 커져 바로 그 순간 넘어와 네가 내 쪽으로 넘어와 What should I do baby 넘어와 내 맘 속으로 넘어와,남
573,"산이, 레이나",한 여름밤의 꿀,2014.6.12,여름,"무더운 밤 잠은 오지 않고 이런저런 생각에 불러 본 너 나올 줄 몰랐어 간지러운 바람 웃고 있는 우리 밤하늘에 별 취한 듯한 너 시원한 Beer Cheers 바랄 게 뭐 더 있어 한여름밤의 꿀 한여름밤의 꿀 so sweet, so sweet, yum~ 정말 오랜만이야 어떻게 지냈어? 나 똑같지 뭐 그냥 열심히 일했어 넌 어때 그때 그 사람 계속 만나? 헤어졌구나 미안 괜한 얘기 꺼내 어쨌든 반가워 시간 진짜 빠르다 벌써 여기까지 왔네 우리도 근데 어쩜 넌 하나 변함없이 여전히 예쁘네 던진 농담 반 진담 반 왜 말 돌리는데 술 때문인 건지 아니면 부끄러운 건지 빨개지는 볼 너 생각나? 로 피어나는 추억의 화원 색색 아련한 이야기꽃 웃음꽃 I want to tell you something 예전에 나 너 좋아했던 거 알어? And you said I know 나 좀 취했나 봐 헛소리 신경 쓰지 말고 cheers 건배 오늘처럼 무더운 밤 잠은 오지 않고 이런저런 생각에 불러 본 너 나올 줄 몰랐어 간지러운 바람 웃고 있는 우리 밤하늘에 별 취한 듯한 너 시원한 Beer Cheers 바랄 게 뭐 더 있어 한여름밤의 꿀 (이건 마치) 한여름밤의 꿀 (우린 마치) so sweet, so sweet, yum~ Hold up, 지금 나오는 노래 뭐지 잠깐 Hold up, 알 듯한데 제목 기억 안 나는 옛 노래 흥얼거려 멜로디 시원한 밤공기 자리 옮길 겸 걷자 신 난다며 폴짝 뛰어가는 뒷모습 참 순수해 너란 여자 그러다 벌레 한 마리에 기겁하더니 가로등 불빛 아래 포개지는 그림자 하나 이 순간 둘 행복해 셋 어느새 쥐고 있는 손가락 넷 한여름밤의 꿈, 깨고 싶지 않은 한여름밤의 꿀, 바로 오늘 같은 무더운 밤 잠은 오지 않고 이런저런 생각에 불러 본 너 나올 줄 몰랐어 간지러운 바람 웃고 있는 우리 밤하늘에 별 취한 듯한 너 시원한 Beer Cheers 바랄 게 뭐 더 있어 한여름밤의 꿀 (이건 마치) 한여름밤의 꿀 (우린 마치) so sweet, so sweet, yum~ 오늘 너무 즐거웠어 (너무 즐거웠어) 너무 반가웠어 (나도 반가웠어) 잘 자 굿 나잇 (You have a sweet dream) 이런 널 보고 있자니 바랄 게 없어서 행복했어 (So happy) 너무 행복했어 (Me, too) 잘 자 굿 나잇 (You have a sweet dream) 이런 널 안고 있자니 바랄 게 뭐 더 있어 한여름밤의 꿀 한여름밤의 꿀 so sweet, so sweet, yum~ 한여름밤의 꿀 (이건 마치) 한여름밤의 꿀 (우린 마치) so sweet, so sweet, yum~",혼성
